,,test mIoU,test mIoU,test mIoU,test mIoU,test mIoU,test mIoU,test mIoU,test mIoU,test mIoU,test mIoU
Clay v1 (6 bands),Full FT,91.57961249351501,71.12366110086441,39.63670253753662,37.62912690639496,90.42370915412903,0.4367170681765059,1.0670697810539385,0.5216826140107717,0.7660338291385954,0.09607969351051854
Clay v1,Linear Prob.,83.1740927696228,27.495659589767456,31.09546184539795,32.64938235282898,89.56876277923584,0.13359581607817178,0.0716190162251714,0.1274908886266296,0.07064686842115661,0.029683584186538745
Clay v1,VPT,90.67395806312561,28.384156227111816,36.88969671726227,36.867281794548035,89.66626286506653,0.4911218229293752,0.2088928547807028,0.4736712392784921,0.24600235885610372,0.33402053499019163
Clay v1,LoRA,92.73677587509155,62.289687395095825,39.6379679441452,38.67152452468872,90.41420459747314,0.23856202851893343,1.5498556436796271,0.6171065857851609,0.480443034354995,0.17389846054400088
Clay v1,Full FT,91.57961249351501,72.03108668327332,40.22152602672577,38.67386877536774,90.40955305099487,0.4367170681765059,1.0197119834192794,0.5758194982734557,0.41433671627449925,0.19447820997996085
Prithvi 1.0 100M,Linear Prob.,83.23178052902222,25.330505967140198,26.064389944076538,27.071154713630676,88.77841114997864,0.044084664012242286,0.18496389503983493,0.04582267226350931,0.08648566157900443,0.01805836720109117
Prithvi 1.0 100M,VPT,85.17287254333496,29.240024089813232,29.616535305976868,29.979021549224854,89.02821063995361,0.8185982918710325,0.5220454185061993,0.4420084007784536,0.43113220018097076,0.13716422021208913
Prithvi 1.0 100M,LoRA,89.33658480644226,52.998170256614685,31.57724440097809,30.604389309883118,89.33214545249939,0.29187727246807815,1.9964056750412345,1.1664686891076597,0.46257188239608965,0.07568509099582994
Prithvi 1.0 100M,ViT Adapter,89.47481513023376,73.30944061279297,32.337074875831604,32.897353768348694,87.71764755249023,0.551241114687825,0.7606889454690794,0.25108909475858093,0.4291334058364984,0.30487804665113627
Prithvi 1.0 100M,Full FT,89.31379795074463,77.41360783576965,32.587905526161194,31.822741627693176,89.01765942573547,0.44635919388500767,1.4376852820945802,0.3745410362826419,0.5323856596319708,0.07295932102273492
Prithvi 2.0 100M,Linear Prob.,83.81223320960999,26.86328113079071,26.724247336387634,29.98464345932007,88.73968005180359,0.1492245093591087,0.5420221126223145,0.298198221167003,0.16124937609954848,0.014700974460459506
Prithvi 2.0 100M,VPT,90.83184957504272,47.191375494003296,36.89859688282013,37.0269912481308,89.51142430305481,0.6181752824990081,1.2634267532257943,0.44477218329395163,0.8974323592858283,0.12942707794604622
Prithvi 2.0 100M,LoRA,92.94812440872192,71.87098383903503,38.54771673679352,37.107200026512146,90.10327339172363,0.5984448587990642,0.7229986258184168,0.47117361336968033,0.6943120431802842,0.25269342350289387
Prithvi 2.0 100M,ViT Adapter,91.9968330860138,74.53281998634338,36.13560914993286,35.22325873374939,89.02172803878784,0.26854763355165856,0.33509660914747375,0.30912134989595097,0.24536347200079828,0.1684315626864424
Prithvi 2.0 100M,Full FT,92.95968413352966,79.36604261398315,37.679221630096436,36.11026346683502,89.75754261016846,0.3311703009570872,0.3614883319616888,0.3099316379423021,0.5298369277519246,0.2709201518606524
Prithvi 2.0 300M,Linear Prob.,83.89502763748169,27.29088008403778,27.259222865104675,31.248061060905457,88.07793855667114,0.3802621473315697,0.3535767547649177,0.1679249097454433,0.0891517229679843,0.05723253680828369
Prithvi 2.0 300M,VPT,92.16094970703125,62.001858949661255,39.32627737522125,38.400176763534546,89.30842757225037,0.42739787847140415,2.6109851051529858,0.4136700844945444,0.34098772719728127,0.1822105534781592
Prithvi 2.0 300M,LoRA,93.32868099212646,77.53144145011902,40.34512221813202,38.84195029735565,90.03552079200745,0.643981749307596,0.4781019860033912,0.44109553353285014,0.23189062145204034,0.17223871665326781
Prithvi 2.0 300M,ViT Adapter,91.9450330734253,75.91644048690796,37.24207580089569,35.14308273792267,88.5240626335144,0.3994152125615711,0.28574049402622653,0.531187976625549,0.480777003619502,0.34616030371360884
Prithvi 2.0 300M,Full FT,92.84655570983887,80.57798027992249,39.73755717277527,37.41523265838623,90.13022184371948,0.8262691487633577,0.39029172866610584,0.3307837309879064,0.6150970112304146,0.21722611790618135
